Label;Part Type;mn;mpn;part number;
LED1;Red (633nm) LED;;;;
LED2;Red (633nm) LED;;;;
LED3;Red (633nm) LED;;;;
LED4;Red (633nm) LED;;;;
LED5;Red (633nm) LED;;;;
LED6;Red (633nm) LED;;;;
LED7;Red (633nm) LED;;;;
LED8;Red (633nm) LED;;;;
LED9;Red (633nm) LED;;;;
LED10;Red (633nm) LED;;;;
LED11;Red (633nm) LED;;;;
LED12;Red (633nm) LED;;;;
LED13;Red (633nm) LED;;;;
LED14;Red (633nm) LED;;;;
LED15;Red (633nm) LED;;;;
LED16;Red (633nm) LED;;;;
Q2;NPN-Transistor;;;;
Q3;NPN-Transistor;;;;
Q4;NPN-Transistor;;;;
Q5;NPN-Transistor;;;;
Q6;NPN-Transistor;;;;
Q7;NPN-Transistor;;;;
Q8;NPN-Transistor;;;;
Q9;NPN-Transistor;;;;
Q10;NPN-Transistor;;;;
Q11;NPN-Transistor;;;;
Q12;NPN-Transistor;;;;
Q13;NPN-Transistor;;;;
Q14;NPN-Transistor;;;;
Q15;NPN-Transistor;;;;
Q16;NPN-Transistor;;;;
Q17;NPN-Transistor;;;;
Q18;NPN-Transistor;;;;
Q19;NPN-Transistor;;;;
Q20;NPN-Transistor;;;;
Q21;NPN-Transistor;;;;
Q22;NPN-Transistor;;;;
Q23;NPN-Transistor;;;;
Q24;NPN-Transistor;;;;
Q25;NPN-Transistor;;;;
Q26;NPN-Transistor;;;;
Q27;NPN-Transistor;;;;
Q28;NPN-Transistor;;;;
Q29;NPN-Transistor;;;;
Q30;NPN-Transistor;;;;
Q31;NPN-Transistor;;;;
Q32;NPN-Transistor;;;;
Q33;NPN-Transistor;;;;
Q34;NPN-Transistor;;;;
Q35;NPN-Transistor;;;;
Q36;NPN-Transistor;;;;
Q37;NPN-Transistor;;;;
Q38;NPN-Transistor;;;;
Q39;NPN-Transistor;;;;
Q40;NPN-Transistor;;;;
Q41;NPN-Transistor;;;;
Q42;NPN-Transistor;;;;
Q43;NPN-Transistor;;;;
Q44;NPN-Transistor;;;;
Q45;NPN-Transistor;;;;
Q46;NPN-Transistor;;;;
Q47;NPN-Transistor;;;;
Q48;NPN-Transistor;;;;
Q49;NPN-Transistor;;;;
Q50;NPN-Transistor;;;;
Q51;NPN-Transistor;;;;
Q52;NPN-Transistor;;;;
Q53;NPN-Transistor;;;;
Q54;NPN-Transistor;;;;
Q55;NPN-Transistor;;;;
Q56;NPN-Transistor;;;;
Q57;NPN-Transistor;;;;
Q58;NPN-Transistor;;;;
Q59;NPN-Transistor;;;;
Q60;NPN-Transistor;;;;
Q61;NPN-Transistor;;;;
Q62;NPN-Transistor;;;;
Q63;NPN-Transistor;;;;
Q64;NPN-Transistor;;;;
Q65;NPN-Transistor;;;;
Q66;NPN-Transistor;;;;
Q67;NPN-Transistor;;;;
Q68;NPN-Transistor;;;;
Q69;NPN-Transistor;;;;
Q70;NPN-Transistor;;;;
Q71;NPN-Transistor;;;;
Q72;NPN-Transistor;;;;
Q73;NPN-Transistor;;;;
Q74;NPN-Transistor;;;;
Q75;NPN-Transistor;;;;
Q76;NPN-Transistor;;;;
Q77;NPN-Transistor;;;;
Q78;NPN-Transistor;;;;
Q79;NPN-Transistor;;;;
Q80;NPN-Transistor;;;;
Q81;NPN-Transistor;;;;
Q82;NPN-Transistor;;;;
Q83;NPN-Transistor;;;;
Q84;NPN-Transistor;;;;
Q85;NPN-Transistor;;;;
Q86;NPN-Transistor;;;;
Q87;NPN-Transistor;;;;
Q88;NPN-Transistor;;;;
Q89;NPN-Transistor;;;;
Q90;NPN-Transistor;;;;
Q91;NPN-Transistor;;;;
Q92;NPN-Transistor;;;;
Q93;NPN-Transistor;;;;
Q94;NPN-Transistor;;;;
Q95;NPN-Transistor;;;;
Q96;NPN-Transistor;;;;
Q97;NPN-Transistor;;;;
Q98;NPN-Transistor;;;;
Q99;NPN-Transistor;;;;
Q100;NPN-Transistor;;;;
Q101;NPN-Transistor;;;;
Q102;NPN-Transistor;;;;
Q103;NPN-Transistor;;;;
Q104;NPN-Transistor;;;;
Q105;NPN-Transistor;;;;
Q106;NPN-Transistor;;;;
Q107;NPN-Transistor;;;;
Q108;NPN-Transistor;;;;
Q109;NPN-Transistor;;;;
Q110;NPN-Transistor;;;;
Q111;NPN-Transistor;;;;
Q112;NPN-Transistor;;;;
Q113;NPN-Transistor;;;;
Q114;NPN-Transistor;;;;
Q115;NPN-Transistor;;;;
Q116;NPN-Transistor;;;;
Q117;NPN-Transistor;;;;
Q118;NPN-Transistor;;;;
Q119;NPN-Transistor;;;;
Q120;NPN-Transistor;;;;
Q121;NPN-Transistor;;;;
Q122;NPN-Transistor;;;;
Q123;NPN-Transistor;;;;
Q124;NPN-Transistor;;;;
Q125;NPN-Transistor;;;;
Q126;NPN-Transistor;;;;
Q127;NPN-Transistor;;;;
Q128;NPN-Transistor;;;;
Q129;NPN-Transistor;;;;
Q130;NPN-Transistor;;;;
Q131;NPN-Transistor;;;;
Q132;NPN-Transistor;;;;
Q133;NPN-Transistor;;;;
Q134;NPN-Transistor;;;;
Q135;NPN-Transistor;;;;
Q136;NPN-Transistor;;;;
Q137;NPN-Transistor;;;;
Q138;NPN-Transistor;;;;
Q139;NPN-Transistor;;;;
Q140;NPN-Transistor;;;;
Q141;NPN-Transistor;;;;
Q142;NPN-Transistor;;;;
Q143;NPN-Transistor;;;;
Q144;NPN-Transistor;;;;
Q145;NPN-Transistor;;;;
Q146;NPN-Transistor;;;;
Q147;NPN-Transistor;;;;
Q148;NPN-Transistor;;;;
Q149;NPN-Transistor;;;;
Q150;NPN-Transistor;;;;
Q151;NPN-Transistor;;;;
Q152;NPN-Transistor;;;;
Q153;NPN-Transistor;;;;
Q154;NPN-Transistor;;;;
Q155;NPN-Transistor;;;;
Q156;NPN-Transistor;;;;
Q157;NPN-Transistor;;;;
Q158;NPN-Transistor;;;;
Q159;NPN-Transistor;;;;
Q160;NPN-Transistor;;;;
Q161;NPN-Transistor;;;;
Q162;NPN-Transistor;;;;
Q163;NPN-Transistor;;;;
Q164;NPN-Transistor;;;;
Q165;NPN-Transistor;;;;
Q166;NPN-Transistor;;;;
Q167;NPN-Transistor;;;;
Q168;NPN-Transistor;;;;
Q169;NPN-Transistor;;;;
Q170;NPN-Transistor;;;;
Q171;NPN-Transistor;;;;
Q172;NPN-Transistor;;;;
Q173;NPN-Transistor;;;;
Q174;NPN-Transistor;;;;
Q175;NPN-Transistor;;;;
Q176;NPN-Transistor;;;;
Q177;NPN-Transistor;;;;
Q178;NPN-Transistor;;;;
Q179;NPN-Transistor;;;;
Q180;NPN-Transistor;;;;
Q181;NPN-Transistor;;;;
Q182;NPN-Transistor;;;;
Q183;NPN-Transistor;;;;
Q184;NPN-Transistor;;;;
Q185;NPN-Transistor;;;;
Q186;NPN-Transistor;;;;
Q187;NPN-Transistor;;;;
Q188;NPN-Transistor;;;;
Q189;NPN-Transistor;;;;
Q190;NPN-Transistor;;;;
Q191;NPN-Transistor;;;;
Q192;NPN-Transistor;;;;
Q193;NPN-Transistor;;;;
Q194;NPN-Transistor;;;;
Q195;NPN-Transistor;;;;
Q196;NPN-Transistor;;;;
Q197;NPN-Transistor;;;;
Q198;NPN-Transistor;;;;
Q199;NPN-Transistor;;;;
Q200;NPN-Transistor;;;;
Q201;NPN-Transistor;;;;
Q202;NPN-Transistor;;;;
Q203;NPN-Transistor;;;;
Q204;NPN-Transistor;;;;
Q205;NPN-Transistor;;;;
Q206;NPN-Transistor;;;;
Q207;NPN-Transistor;;;;
Q208;NPN-Transistor;;;;
Q209;NPN-Transistor;;;;
Q210;NPN-Transistor;;;;
Q211;NPN-Transistor;;;;
Q212;NPN-Transistor;;;;
Q213;NPN-Transistor;;;;
Q214;NPN-Transistor;;;;
Q215;NPN-Transistor;;;;
Q216;NPN-Transistor;;;;
Q217;NPN-Transistor;;;;
Q218;NPN-Transistor;;;;
Q219;NPN-Transistor;;;;
Q220;NPN-Transistor;;;;
Q221;NPN-Transistor;;;;
Q222;NPN-Transistor;;;;
Q223;NPN-Transistor;;;;
Q224;NPN-Transistor;;;;
Q225;NPN-Transistor;;;;
Q226;NPN-Transistor;;;;
Q227;NPN-Transistor;;;;
Q228;NPN-Transistor;;;;
Q229;NPN-Transistor;;;;
Q230;NPN-Transistor;;;;
Q231;NPN-Transistor;;;;
Q232;NPN-Transistor;;;;
Q233;NPN-Transistor;;;;
R5;10kΩ Resistor;;;;
R6;10kΩ Resistor;;;;
R8;4.7kΩ Resistor;;;;
R9;4.7kΩ Resistor;;;;
R10;4.7kΩ Resistor;;;;
R13;10kΩ Resistor;;;;
R14;10kΩ Resistor;;;;
R15;10kΩ Resistor;;;;
R16;10kΩ Resistor;;;;
R17;4.7kΩ Resistor;;;;
R18;4.7kΩ Resistor;;;;
R19;4.7kΩ Resistor;;;;
R20;10kΩ Resistor;;;;
R21;10kΩ Resistor;;;;
R22;10kΩ Resistor;;;;
R23;4.7kΩ Resistor;;;;
R24;10kΩ Resistor;;;;
R25;4.7kΩ Resistor;;;;
R26;10kΩ Resistor;;;;
R27;10kΩ Resistor;;;;
R28;10kΩ Resistor;;;;
R29;10kΩ Resistor;;;;
R30;4.7kΩ Resistor;;;;
R31;4.7kΩ Resistor;;;;
R32;10kΩ Resistor;;;;
R33;10kΩ Resistor;;;;
R34;10kΩ Resistor;;;;
R35;10kΩ Resistor;;;;
R36;4.7kΩ Resistor;;;;
R37;4.7kΩ Resistor;;;;
R38;10kΩ Resistor;;;;
R39;10kΩ Resistor;;;;
R40;4.7kΩ Resistor;;;;
R41;4.7kΩ Resistor;;;;
R42;4.7kΩ Resistor;;;;
R43;10kΩ Resistor;;;;
R44;10kΩ Resistor;;;;
R45;450Ω Resistor;;;;
R46;450Ω Resistor;;;;
R47;10kΩ Resistor;;;;
R48;10kΩ Resistor;;;;
R49;10kΩ Resistor;;;;
R50;10kΩ Resistor;;;;
R51;10kΩ Resistor;;;;
R52;10kΩ Resistor;;;;
R53;10kΩ Resistor;;;;
R54;10kΩ Resistor;;;;
R55;10kΩ Resistor;;;;
R56;10kΩ Resistor;;;;
R57;10kΩ Resistor;;;;
R58;10kΩ Resistor;;;;
R59;450Ω Resistor;;;;
R60;450Ω Resistor;;;;
R61;4.7kΩ Resistor;;;;
R62;4.7kΩ Resistor;;;;
R63;4.7kΩ Resistor;;;;
R64;4.7kΩ Resistor;;;;
R65;4.7kΩ Resistor;;;;
R66;4.7kΩ Resistor;;;;
R67;4.7kΩ Resistor;;;;
R68;4.7kΩ Resistor;;;;
R69;4.7kΩ Resistor;;;;
R70;4.7kΩ Resistor;;;;
R71;4.7kΩ Resistor;;;;
R72;4.7kΩ Resistor;;;;
R73;4.7kΩ Resistor;;;;
R74;4.7kΩ Resistor;;;;
R75;4.7kΩ Resistor;;;;
R76;10kΩ Resistor;;;;
R77;10kΩ Resistor;;;;
R78;10kΩ Resistor;;;;
R79;10kΩ Resistor;;;;
R80;10kΩ Resistor;;;;
R81;10kΩ Resistor;;;;
R82;10kΩ Resistor;;;;
R83;10kΩ Resistor;;;;
R84;10kΩ Resistor;;;;
